Order_ID,Order_Date,Warehouse,Carrier,Product_Type,Route,Route_Distance_KM,Processing_Days,Transit_Days,Day_of_Week,Month,Season,Delay_Days,Promised_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delay_Risk
ORD00019,2025-09-15,Coimbatore,DTDC,Pharmacy,Chennai-Bangalore,350,2.4,1.2,Monday,September,Monsoon,1,2025-09-19,2025-09-20,Delayed,Medium
ORD00020,2025-12-10,Coimbatore,Ecom Express,Furniture,Hyderabad-Chennai,630,1.8,1.7,Wednesday,December,Winter,2,2025-12-14,2025-12-16,Delayed,Medium
ORD00021,2025-10-21,Hyderabad,Ecom Express,Electronics,Kochi-Bangalore,550,0.9,2.3,Tuesday,October,Autumn,1,2025-10-25,2025-10-26,Delayed,Medium
ORD00022,2025-07-11,Kochi,Delhivery,Electronics,Chennai-Bangalore,350,1.8,1.1,Friday,July,Monsoon,1,2025-07-14,2025-07-15,Delayed,Medium
ORD00023,2025-10-04,Hyderabad,BlueDart,Electronics,Chennai-Coimbatore,510,1.3,1.0,Saturday,October,Autumn,1,2025-10-07,2025-10-08,Delayed,Medium
ORD00024,2025-06-10,Hyderabad,XpressBees,Furniture,Chennai-Bangalore,350,1.6,1.0,Tuesday,June,Monsoon,2,2025-06-13,2025-06-15,Delayed,Medium
ORD00025,2025-11-10,Chennai,Delhivery,Pharmacy,Chennai-Bangalore,350,1.4,2.1,Monday,November,Autumn,3,2025-11-14,2025-11-17,Delayed,High
ORD00026,2025-01-22,Chennai,BlueDart,Electronics,Chennai-Bangalore,350,1.9,1.0,Wednesday,January,Winter,0,2025-01-25,2025-01-25,On-Time,Low
ORD00027,2025-09-10,Chennai,BlueDart,Pharmacy,Coimbatore-Kochi,190,1.2,1.0,Wednesday,September,Monsoon,1,2025-09-13,2025-09-14,Delayed,Medium
ORD00028,2025-08-24,Bangalore,Delhivery,Furniture,Coimbatore-Kochi,190,1.5,1.1,Sunday,August,Monsoon,0,2025-08-27,2025-08-27,On-Time,Low
ORD00029,2025-12-11,Chennai,Delhivery,Pharmacy,Chennai-Bangalore,350,0.7,1.8,Thursday,December,Winter,0,2025-12-14,2025-12-14,On-Time,Low
ORD00030,2025-02-18,Kochi,DTDC,Pharmacy,Chennai-Coimbatore,510,2.2,1.6,Tuesday,February,Winter,1,2025-02-22,2025-02-23,Delayed,Medium
ORD00031,2025-02-28,Hyderabad,XpressBees,Electronics,Chennai-Coimbatore,510,2.3,1.0,Friday,February,Winter,1,2025-03-04,2025-03-05,Delayed,Medium
ORD00032,2025-06-19,Kochi,Ecom Express,Clothing,Chennai-Coimbatore,510,1.7,1.1,Thursday,June,Monsoon,1,2025-06-22,2025-06-23,Delayed,Medium
ORD00033,2025-07-07,Chennai,DTDC,Grocery,Chennai-Coimbatore,510,1.1,1.0,Monday,July,Monsoon,1,2025-07-10,2025-07-11,Delayed,Medium
ORD00034,2025-09-28,Bangalore,BlueDart,Furniture,Kochi-Bangalore,550,0.7,1.0,Sunday,September,Monsoon,1,2025-09-30,2025-10-01,Delayed,Medium
ORD00035,2025-07-09,Bangalore,XpressBees,Furniture,Kochi-Bangalore,550,1.2,1.9,Wednesday,July,Monsoon,2,2025-07-13,2025-07-15,Delayed,Medium
ORD00036,2025-06-24,Hyderabad,XpressBees,Furniture,Bangalore-Hyderabad,570,2.3,1.9,Tuesday,June,Monsoon,2,2025-06-29,2025-07-01,Delayed,Medium
ORD00037,2025-02-20,Kochi,Delhivery,Grocery,Chennai-Bangalore,350,1.6,2.1,Thursday,February,Winter,1,2025-02-24,2025-02-25,Delayed,Medium
ORD00038,2025-12-30,Coimbatore,XpressBees,Clothing,Chennai-Bangalore,350,2.6,1.1,Tuesday,December,Winter,1,2026-01-03,2026-01-04,Delayed,Medium
ORD00039,2025-02-24,Kochi,XpressBees,Pharmacy,Bangalore-Hyderabad,570,1.2,1.3,Monday,February,Winter,2,2025-02-27,2025-03-01,Delayed,Medium
ORD00040,2025-09-01,Chennai,BlueDart,Furniture,Chennai-Coimbatore,510,1.3,2.5,Monday,September,Monsoon,1,2025-09-05,2025-09-06,Delayed,Medium
ORD00041,2025-11-16,Coimbatore,DTDC,Pharmacy,Hyderabad-Chennai,630,2.0,3.3,Sunday,November,Autumn,2,2025-11-22,2025-11-24,Delayed,Medium
ORD00042,2025-05-11,Bangalore,XpressBees,Electronics,Hyderabad-Chennai,630,1.3,2.7,Sunday,May,Summer,1,2025-05-15,2025-05-16,Delayed,Medium
ORD00043,2025-11-03,Hyderabad,Delhivery,Electronics,Bangalore-Hyderabad,570,1.5,1.9,Monday,November,Autumn,1,2025-11-07,2025-11-08,Delayed,Medium
ORD00044,2025-05-15,Hyderabad,DTDC,Electronics,Hyderabad-Chennai,630,2.3,1.9,Thursday,May,Summer,1,2025-05-20,2025-05-21,Delayed,Medium
ORD00045,2025-01-21,Bangalore,Delhivery,Furniture,Coimbatore-Kochi,190,1.8,1.0,Tuesday,January,Winter,1,2025-01-24,2025-01-25,Delayed,Medium
ORD00046,2025-11-25,Chennai,XpressBees,Grocery,Chennai-Bangalore,350,1.4,1.0,Tuesday,November,Autumn,0,2025-11-28,2025-11-28,On-Time,Low
ORD00047,2025-06-16,Bangalore,DTDC,Furniture,Hyderabad-Chennai,630,0.9,1.8,Monday,June,Monsoon,1,2025-06-19,2025-06-20,Delayed,Medium
ORD00048,2025-10-01,Chennai,XpressBees,Electronics,Kochi-Bangalore,550,1.2,1.0,Wednesday,October,Autumn,1,2025-10-04,2025-10-05,Delayed,Medium
ORD00049,2025-03-30,Coimbatore,BlueDart,Electronics,Kochi-Bangalore,550,2.5,1.6,Sunday,March,Summer,1,2025-04-04,2025-04-05,Delayed,Medium
ORD00050,2025-11-12,Bangalore,DTDC,Furniture,Coimbatore-Kochi,190,0.9,1.0,Wednesday,November,Autumn,0,2025-11-14,2025-11-14,On-Time,Low
ORD00051,2025-01-14,Chennai,Delhivery,Grocery,Chennai-Bangalore,350,0.8,2.1,Tuesday,January,Winter,1,2025-01-17,2025-01-18,Delayed,Medium
ORD00052,2025-08-30,Coimbatore,BlueDart,Grocery,Coimbatore-Kochi,190,1.3,1.0,Saturday,August,Monsoon,1,2025-09-02,2025-09-03,Delayed,Medium
ORD00053,2025-09-22,Bangalore,Ecom Express,Pharmacy,Chennai-Bangalore,350,1.5,1.3,Monday,September,Monsoon,1,2025-09-25,2025-09-26,Delayed,Medium
ORD00054,2025-12-12,Hyderabad,Delhivery,Clothing,Chennai-Bangalore,350,1.0,1.0,Friday,December,Winter,1,2025-12-14,2025-12-15,Delayed,Medium
ORD00055,2025-02-22,Bangalore,XpressBees,Electronics,Hyderabad-Chennai,630,1.0,1.0,Saturday,February,Winter,1,2025-02-24,2025-02-25,Delayed,Medium
ORD00056,2025-12-06,Kochi,Delhivery,Grocery,Kochi-Bangalore,550,1.9,1.5,Saturday,December,Winter,1,2025-12-10,2025-12-11,Delayed,Medium
ORD00057,2025-04-02,Bangalore,Ecom Express,Electronics,Bangalore-Hyderabad,570,0.5,1.9,Wednesday,April,Summer,0,2025-04-05,2025-04-05,On-Time,Low
ORD00058,2025-09-21,Kochi,Delhivery,Clothing,Hyderabad-Chennai,630,1.9,3.0,Sunday,September,Monsoon,2,2025-09-26,2025-09-28,Delayed,Medium
ORD00059,2025-02-04,Coimbatore,BlueDart,Electronics,Chennai-Coimbatore,510,1.8,1.5,Tuesday,February,Winter,0,2025-02-08,2025-02-08,On-Time,Low
ORD00060,2025-07-25,Bangalore,Delhivery,Grocery,Coimbatore-Kochi,190,0.5,1.0,Friday,July,Monsoon,1,2025-07-27,2025-07-28,Delayed,Medium
ORD00061,2025-03-22,Coimbatore,DTDC,Pharmacy,Chennai-Coimbatore,510,2.1,1.2,Saturday,March,Summer,1,2025-03-26,2025-03-27,Delayed,Medium
ORD00062,2025-02-19,Coimbatore,Ecom Express,Furniture,Chennai-Bangalore,350,2.2,1.0,Wednesday,February,Winter,1,2025-02-23,2025-02-24,Delayed,Medium
ORD00063,2025-12-26,Chennai,Delhivery,Furniture,Hyderabad-Chennai,630,1.6,1.0,Friday,December,Winter,1,2025-12-29,2025-12-30,Delayed,Medium
ORD00064,2025-01-02,Coimbatore,Ecom Express,Grocery,Chennai-Coimbatore,510,2.3,1.1,Thursday,January,Winter,2,2025-01-06,2025-01-08,Delayed,Medium
ORD00065,2025-02-23,Coimbatore,BlueDart,Grocery,Chennai-Coimbatore,510,2.1,2.3,Sunday,February,Winter,2,2025-02-28,2025-03-02,Delayed,Medium
ORD00066,2025-04-16,Bangalore,DTDC,Clothing,Kochi-Bangalore,550,1.6,1.0,Wednesday,April,Summer,0,2025-04-19,2025-04-19,On-Time,Low
ORD00067,2025-09-17,Bangalore,XpressBees,Electronics,Chennai-Coimbatore,510,0.7,1.4,Wednesday,September,Monsoon,1,2025-09-20,2025-09-21,Delayed,Medium
ORD00068,2025-11-06,Hyderabad,Delhivery,Clothing,Kochi-Bangalore,550,1.0,1.6,Thursday,November,Autumn,1,2025-11-09,2025-11-10,Delayed,Medium
ORD00069,2025-07-10,Chennai,BlueDart,Furniture,Kochi-Bangalore,550,0.9,2.3,Thursday,July,Monsoon,2,2025-07-14,2025-07-16,Delayed,Medium
ORD00070,2025-08-06,Coimbatore,Ecom Express,Electronics,Chennai-Bangalore,350,1.6,1.2,Wednesday,August,Monsoon,1,2025-08-09,2025-08-10,Delayed,Medium
ORD00071,2025-02-13,Chennai,Ecom Express,Clothing,Kochi-Bangalore,550,2.5,2.1,Thursday,February,Winter,0,2025-02-18,2025-02-18,On-Time,Low
ORD00072,2025-06-11,Kochi,BlueDart,Furniture,Chennai-Bangalore,350,1.4,1.0,Wednesday,June,Monsoon,1,2025-06-14,2025-06-15,Delayed,Medium
ORD00073,2025-07-21,Coimbatore,Delhivery,Electronics,Kochi-Bangalore,550,1.7,1.0,Monday,July,Monsoon,0,2025-07-24,2025-07-24,On-Time,Low
ORD00074,2025-09-27,Chennai,XpressBees,Pharmacy,Kochi-Bangalore,550,1.4,1.5,Saturday,September,Monsoon,0,2025-09-30,2025-09-30,On-Time,Low
ORD00075,2025-12-17,Hyderabad,Delhivery,Pharmacy,Chennai-Bangalore,350,1.5,1.1,Wednesday,December,Winter,0,2025-12-20,2025-12-20,On-Time,Low
ORD00076,2025-10-31,Hyderabad,DTDC,Clothing,Chennai-Coimbatore,510,2.6,2.5,Friday,October,Autumn,1,2025-11-06,2025-11-07,Delayed,Medium
ORD00077,2025-09-28,Coimbatore,Delhivery,Grocery,Coimbatore-Kochi,190,1.1,1.0,Sunday,September,Monsoon,1,2025-10-01,2025-10-02,Delayed,Medium
ORD00078,2025-08-03,Kochi,DTDC,Electronics,Hyderabad-Chennai,630,2.9,3.6,Sunday,August,Monsoon,1,2025-08-10,2025-08-11,Delayed,Medium
ORD00079,2025-09-09,Hyderabad,Ecom Express,Clothing,Hyderabad-Chennai,630,1.8,2.2,Tuesday,September,Monsoon,1,2025-09-13,2025-09-14,Delayed,Medium
ORD00080,2025-07-09,Hyderabad,DTDC,Grocery,Chennai-Bangalore,350,2.2,1.0,Wednesday,July,Monsoon,2,2025-07-13,2025-07-15,Delayed,Medium
ORD00081,2025-10-23,Kochi,XpressBees,Grocery,Chennai-Coimbatore,510,1.8,1.1,Thursday,October,Autumn,1,2025-10-26,2025-10-27,Delayed,Medium
ORD00082,2025-08-01,Chennai,BlueDart,Electronics,Coimbatore-Kochi,190,1.9,1.0,Friday,August,Monsoon,1,2025-08-04,2025-08-05,Delayed,Medium
ORD00083,2025-07-27,Hyderabad,DTDC,Electronics,Bangalore-Hyderabad,570,1.2,1.9,Sunday,July,Monsoon,1,2025-07-31,2025-08-01,Delayed,Medium
ORD00084,2025-08-25,Bangalore,Delhivery,Grocery,Chennai-Bangalore,350,0.5,1.2,Monday,August,Monsoon,1,2025-08-27,2025-08-28,Delayed,Medium
ORD00085,2025-12-04,Hyderabad,DTDC,Furniture,Bangalore-Hyderabad,570,3.0,2.3,Thursday,December,Winter,1,2025-12-10,2025-12-11,Delayed,Medium
ORD00086,2025-02-22,Chennai,Ecom Express,Clothing,Hyderabad-Chennai,630,2.5,1.6,Saturday,February,Winter,1,2025-02-27,2025-02-28,Delayed,Medium
ORD00087,2025-10-07,Chennai,DTDC,Electronics,Hyderabad-Chennai,630,1.0,2.2,Tuesday,October,Autumn,1,2025-10-11,2025-10-12,Delayed,Medium
ORD00088,2025-08-05,Coimbatore,XpressBees,Grocery,Coimbatore-Kochi,190,2.4,1.0,Tuesday,August,Monsoon,1,2025-08-09,2025-08-10,Delayed,Medium
ORD00089,2025-09-09,Bangalore,DTDC,Furniture,Coimbatore-Kochi,190,1.8,1.8,Tuesday,September,Monsoon,1,2025-09-13,2025-09-14,Delayed,Medium
ORD00090,2025-07-07,Chennai,XpressBees,Pharmacy,Bangalore-Hyderabad,570,1.8,1.0,Monday,July,Monsoon,1,2025-07-10,2025-07-11,Delayed,Medium
ORD00091,2025-02-10,Kochi,Delhivery,Grocery,Hyderabad-Chennai,630,1.7,3.6,Monday,February,Winter,1,2025-02-16,2025-02-17,Delayed,Medium
ORD00092,2025-06-06,Bangalore,Ecom Express,Furniture,Coimbatore-Kochi,190,2.2,1.0,Friday,June,Monsoon,0,2025-06-10,2025-06-10,On-Time,Low
ORD00093,2025-01-15,Bangalore,BlueDart,Pharmacy,Coimbatore-Kochi,190,1.5,1.0,Wednesday,January,Winter,0,2025-01-18,2025-01-18,On-Time,Low
ORD00094,2025-10-28,Kochi,Delhivery,Furniture,Hyderabad-Chennai,630,1.3,1.9,Tuesday,October,Autumn,1,2025-11-01,2025-11-02,Delayed,Medium
ORD00095,2025-03-06,Hyderabad,Delhivery,Electronics,Hyderabad-Chennai,630,1.5,2.3,Thursday,March,Summer,1,2025-03-10,2025-03-11,Delayed,Medium
ORD00096,2025-12-11,Kochi,BlueDart,Grocery,Chennai-Coimbatore,510,1.3,1.4,Thursday,December,Winter,1,2025-12-14,2025-12-15,Delayed,Medium
ORD00097,2025-11-23,Kochi,DTDC,Pharmacy,Kochi-Bangalore,550,1.7,2.3,Sunday,November,Autumn,1,2025-11-27,2025-11-28,Delayed,Medium
ORD00098,2025-01-09,Hyderabad,DTDC,Furniture,Coimbatore-Kochi,190,1.6,1.0,Thursday,January,Winter,0,2025-01-12,2025-01-12,On-Time,Low
ORD00099,2025-12-10,Hyderabad,DTDC,Pharmacy,Bangalore-Hyderabad,570,2.1,1.4,Wednesday,December,Winter,1,2025-12-14,2025-12-15,Delayed,Medium
ORD00100,2025-05-09,Hyderabad,Ecom Express,Clothing,Chennai-Bangalore,350,2.1,1.0,Friday,May,Summer,1,2025-05-13,2025-05-14,Delayed,Medium
ORD00101,2025-05-16,Hyderabad,Delhivery,Grocery,Chennai-Bangalore,350,1.9,2.0,Friday,May,Summer,0,2025-05-20,2025-05-20,On-Time,Low
ORD00102,2025-03-04,Hyderabad,XpressBees,Electronics,Hyderabad-Chennai,630,1.9,2.4,Tuesday,March,Summer,4,2025-03-09,2025-03-13,Delayed,High
ORD00103,2025-05-19,Kochi,BlueDart,Pharmacy,Kochi-Bangalore,550,2.3,1.0,Monday,May,Summer,0,2025-05-23,2025-05-23,On-Time,Low
ORD00104,2025-03-22,Coimbatore,Delhivery,Furniture,Bangalore-Hyderabad,570,1.9,1.6,Saturday,March,Summer,2,2025-03-26,2025-03-28,Delayed,Medium
ORD00105,2025-06-12,Coimbatore,DTDC,Pharmacy,Chennai-Coimbatore,510,0.8,1.0,Thursday,June,Monsoon,1,2025-06-14,2025-06-15,Delayed,Medium
ORD00106,2025-10-16,Chennai,BlueDart,Furniture,Coimbatore-Kochi,190,2.6,2.5,Thursday,October,Autumn,0,2025-10-22,2025-10-22,On-Time,Low
ORD00107,2025-09-18,Coimbatore,XpressBees,Pharmacy,Chennai-Coimbatore,510,1.5,1.8,Thursday,September,Monsoon,2,2025-09-22,2025-09-24,Delayed,Medium
ORD00108,2025-08-19,Coimbatore,Delhivery,Electronics,Bangalore-Hyderabad,570,2.3,1.0,Tuesday,August,Monsoon,0,2025-08-23,2025-08-23,On-Time,Low
ORD00109,2025-02-10,Kochi,Delhivery,Electronics,Chennai-Coimbatore,510,1.6,1.0,Monday,February,Winter,0,2025-02-13,2025-02-13,On-Time,Low
ORD00110,2025-01-28,Hyderabad,Ecom Express,Grocery,Hyderabad-Chennai,630,2.4,1.2,Tuesday,January,Winter,1,2025-02-01,2025-02-02,Delayed,Medium
ORD00111,2025-05-15,Hyderabad,Delhivery,Electronics,Chennai-Bangalore,350,1.2,1.4,Thursday,May,Summer,0,2025-05-18,2025-05-18,On-Time,Low
ORD00112,2025-07-20,Kochi,Delhivery,Pharmacy,Hyderabad-Chennai,630,1.4,1.0,Sunday,July,Monsoon,1,2025-07-23,2025-07-24,Delayed,Medium
ORD00113,2025-11-24,Coimbatore,XpressBees,Pharmacy,Coimbatore-Kochi,190,1.8,1.0,Monday,November,Autumn,1,2025-11-27,2025-11-28,Delayed,Medium
ORD00114,2025-09-25,Kochi,XpressBees,Electronics,Hyderabad-Chennai,630,2.1,1.9,Thursday,September,Monsoon,1,2025-09-29,2025-09-30,Delayed,Medium
ORD00115,2025-02-02,Chennai,BlueDart,Clothing,Bangalore-Hyderabad,570,1.6,1.8,Sunday,February,Winter,1,2025-02-06,2025-02-07,Delayed,Medium
ORD00116,2025-02-17,Hyderabad,DTDC,Pharmacy,Bangalore-Hyderabad,570,2.0,1.5,Monday,February,Winter,1,2025-02-21,2025-02-22,Delayed,Medium
ORD00117,2025-03-03,Bangalore,XpressBees,Grocery,Coimbatore-Kochi,190,1.3,1.0,Monday,March,Summer,1,2025-03-06,2025-03-07,Delayed,Medium
ORD00118,2025-08-04,Chennai,BlueDart,Clothing,Coimbatore-Kochi,190,2.0,1.0,Monday,August,Monsoon,1,2025-08-07,2025-08-08,Delayed,Medium
ORD00119,2025-10-20,Chennai,Delhivery,Electronics,Chennai-Bangalore,350,2.0,1.5,Monday,October,Autumn,1,2025-10-24,2025-10-25,Delayed,Medium
ORD00120,2025-04-09,Kochi,BlueDart,Furniture,Chennai-Coimbatore,510,2.6,1.0,Wednesday,April,Summer,1,2025-04-13,2025-04-14,Delayed,Medium
ORD00121,2025-06-21,Coimbatore,BlueDart,Pharmacy,Chennai-Bangalore,350,2.2,1.1,Saturday,June,Monsoon,1,2025-06-25,2025-06-26,Delayed,Medium
ORD00122,2025-12-26,Hyderabad,BlueDart,Furniture,Hyderabad-Chennai,630,1.9,3.3,Friday,December,Winter,1,2026-01-01,2026-01-02,Delayed,Medium
ORD00123,2025-08-02,Bangalore,BlueDart,Grocery,Chennai-Coimbatore,510,2.1,1.4,Saturday,August,Monsoon,1,2025-08-06,2025-08-07,Delayed,Medium
ORD00124,2025-02-04,Chennai,XpressBees,Clothing,Coimbatore-Kochi,190,2.1,1.0,Tuesday,February,Winter,1,2025-02-08,2025-02-09,Delayed,Medium
ORD00125,2025-08-15,Bangalore,DTDC,Furniture,Bangalore-Hyderabad,570,1.5,1.8,Friday,August,Monsoon,1,2025-08-19,2025-08-20,Delayed,Medium
ORD00126,2025-04-11,Coimbatore,BlueDart,Grocery,Hyderabad-Chennai,630,1.3,1.9,Friday,April,Summer,2,2025-04-15,2025-04-17,Delayed,Medium
ORD00127,2025-05-11,Coimbatore,Ecom Express,Furniture,Chennai-Bangalore,350,1.2,1.3,Sunday,May,Summer,0,2025-05-14,2025-05-14,On-Time,Low
ORD00128,2025-09-14,Bangalore,Delhivery,Furniture,Kochi-Bangalore,550,1.5,2.0,Sunday,September,Monsoon,0,2025-09-18,2025-09-18,On-Time,Low
ORD00129,2025-01-05,Hyderabad,Delhivery,Grocery,Kochi-Bangalore,550,2.0,2.5,Sunday,January,Winter,2,2025-01-10,2025-01-12,Delayed,Medium
ORD00130,2025-08-06,Coimbatore,Delhivery,Pharmacy,Coimbatore-Kochi,190,1.6,1.0,Wednesday,August,Monsoon,1,2025-08-09,2025-08-10,Delayed,Medium
ORD00131,2025-09-12,Bangalore,Delhivery,Furniture,Chennai-Coimbatore,510,1.4,1.1,Friday,September,Monsoon,2,2025-09-15,2025-09-17,Delayed,Medium
ORD00132,2025-12-25,Chennai,Delhivery,Grocery,Kochi-Bangalore,550,1.0,1.3,Thursday,December,Winter,0,2025-12-28,2025-12-28,On-Time,Low
ORD00133,2025-10-10,Bangalore,BlueDart,Furniture,Chennai-Coimbatore,510,1.5,1.2,Friday,October,Autumn,1,2025-10-13,2025-10-14,Delayed,Medium
ORD00134,2025-07-26,Bangalore,DTDC,Pharmacy,Bangalore-Hyderabad,570,1.5,2.1,Saturday,July,Monsoon,0,2025-07-30,2025-07-30,On-Time,Low
ORD00135,2025-01-15,Kochi,Ecom Express,Grocery,Coimbatore-Kochi,190,2.1,1.0,Wednesday,January,Winter,1,2025-01-19,2025-01-20,Delayed,Medium
ORD00136,2025-12-12,Coimbatore,XpressBees,Furniture,Coimbatore-Kochi,190,2.2,1.0,Friday,December,Winter,1,2025-12-16,2025-12-17,Delayed,Medium
ORD00137,2025-02-11,Hyderabad,Ecom Express,Electronics,Hyderabad-Chennai,630,1.6,2.1,Tuesday,February,Winter,1,2025-02-15,2025-02-16,Delayed,Medium
ORD00138,2025-06-28,Hyderabad,XpressBees,Pharmacy,Hyderabad-Chennai,630,1.6,2.9,Saturday,June,Monsoon,5,2025-07-03,2025-07-08,Delayed,High
ORD00139,2025-03-04,Kochi,XpressBees,Furniture,Chennai-Coimbatore,510,2.4,1.1,Tuesday,March,Summer,1,2025-03-08,2025-03-09,Delayed,Medium
ORD00140,2025-12-18,Hyderabad,Ecom Express,Clothing,Kochi-Bangalore,550,1.9,2.1,Thursday,December,Winter,1,2025-12-22,2025-12-23,Delayed,Medium
ORD00141,2025-08-19,Bangalore,BlueDart,Grocery,Kochi-Bangalore,550,1.4,1.7,Tuesday,August,Monsoon,0,2025-08-23,2025-08-23,On-Time,Low
ORD00142,2025-08-29,Kochi,Delhivery,Furniture,Chennai-Bangalore,350,1.8,1.5,Friday,August,Monsoon,2,2025-09-02,2025-09-04,Delayed,Medium
ORD00143,2025-02-21,Chennai,BlueDart,Pharmacy,Chennai-Coimbatore,510,1.8,1.7,Friday,February,Winter,1,2025-02-25,2025-02-26,Delayed,Medium
ORD00144,2025-04-06,Coimbatore,Delhivery,Pharmacy,Kochi-Bangalore,550,2.5,1.9,Sunday,April,Summer,1,2025-04-11,2025-04-12,Delayed,Medium
ORD00145,2025-08-10,Coimbatore,DTDC,Clothing,Hyderabad-Chennai,630,1.7,3.9,Sunday,August,Monsoon,1,2025-08-16,2025-08-17,Delayed,Medium
ORD00146,2025-08-19,Coimbatore,XpressBees,Clothing,Hyderabad-Chennai,630,2.3,4.2,Tuesday,August,Monsoon,2,2025-08-26,2025-08-28,Delayed,Medium
ORD00147,2025-08-25,Bangalore,Ecom Express,Furniture,Hyderabad-Chennai,630,1.1,1.9,Monday,August,Monsoon,1,2025-08-28,2025-08-29,Delayed,Medium
ORD00148,2025-05-23,Chennai,DTDC,Electronics,Chennai-Coimbatore,510,1.7,1.1,Friday,May,Summer,2,2025-05-26,2025-05-28,Delayed,Medium
ORD00149,2025-06-20,Kochi,Delhivery,Pharmacy,Coimbatore-Kochi,190,2.2,1.0,Friday,June,Monsoon,2,2025-06-24,2025-06-26,Delayed,Medium
ORD00150,2025-01-29,Kochi,BlueDart,Electronics,Chennai-Bangalore,350,1.1,1.6,Wednesday,January,Winter,0,2025-02-01,2025-02-01,On-Time,Low
ORD00151,2025-02-05,Coimbatore,Ecom Express,Electronics,Chennai-Bangalore,350,1.5,2.1,Wednesday,February,Winter,1,2025-02-09,2025-02-10,Delayed,Medium
ORD00152,2025-01-13,Chennai,XpressBees,Furniture,Hyderabad-Chennai,630,1.2,1.0,Monday,January,Winter,1,2025-01-16,2025-01-17,Delayed,Medium
ORD00153,2025-06-09,Chennai,DTDC,Grocery,Bangalore-Hyderabad,570,1.1,1.6,Monday,June,Monsoon,1,2025-06-12,2025-06-13,Delayed,Medium
ORD00154,2025-11-23,Chennai,XpressBees,Grocery,Chennai-Coimbatore,510,1.4,1.3,Sunday,November,Autumn,1,2025-11-26,2025-11-27,Delayed,Medium
